   0	  16	  32	  48
   1	  17	  33	  49
   2	  18	  34	  50
   3	  19	  35	  51
   4	  20	  36	  52
   5	  21	  37	  53
   6	  22	  38	  54
   7	  23	  39	  55
   8	  24	  40	  56
   9	  25	  41	  57
  10	  26	  42	  58
  11	  27	  43	  59
  12	  28	  44	  60
  13	  29	  45	  61
  14	  30	  46	  62
  15	  31	  47	  63
  80	  64	 112	  96
  81	  65	 113	  97
  82	  66	 114	  98
  83	  67	 115	  99
  84	  68	 116	 100
  85	  69	 117	 101
  86	  70	 118	 102
  87	  71	 119	 103
  88	  72	 120	 104
  89	  73	 121	 105
  90	  74	 122	 106
  91	  75	 123	 107
  92	  76	 124	 108
  93	  77	 125	 109
  94	  78	 126	 110
  95	  79	 127	 111
 128	 144	 160	 176
 129	 145	 161	 177
 130	 146	 162	 178
 131	 147	 163	 179
 132	 148	 164	 180
 133	 149	 165	 181
 134	 150	 166	 182
 135	 151	 167	 183
 136	 152	 168	 184
 137	 153	 169	 185
 138	 154	 170	 186
 139	 155	 171	 187
 140	 156	 172	 188
 141	 157	 173	 189
 142	 158	 174	 190
 143	 159	 175	 191
 208	 192	 240	 224
 209	 193	 241	 225
 210	 194	 242	 226
 211	 195	 243	 227
 212	 196	 244	 228
 213	 197	 245	 229
 214	 198	 246	 230
 215	 199	 247	 231
 216	 200	 248	 232
 217	 201	 249	 233
 218	 202	 250	 234
 219	 203	 251	 235
 220	 204	 252	 236
 221	 205	 253	 237
 222	 206	 254	 238
 223	 207	 255	 239
 256	 272	 288	 304
 257	 273	 289	 305
 258	 274	 290	 306
 259	 275	 291	 307
 260	 276	 292	 308
 261	 277	 293	 309
 262	 278	 294	 310
 263	 279	 295	 311
 264	 280	 296	 312
 265	 281	 297	 313
 266	 282	 298	 314
 267	 283	 299	 315
 268	 284	 300	 316
 269	 285	 301	 317
 270	 286	 302	 318
 271	 287	 303	 319
 336	 320	 368	 352
 337	 321	 369	 353
 338	 322	 370	 354
